code_municipality,date_reported,new_deaths
501,2021-01-09,0
801,2021-01-09,0
1901,2021-01-09,0
108,2021-01-09,1
2001,2021-01-09,0
1701,2021-01-09,0
901,2021-01-09,0
1001,2021-01-09,0
114,2021-01-09,0
304,2021-01-09,0
913,2021-01-09,0
106,2021-01-09,0
1013,2021-01-09,0
1101,2021-01-09,0
505,2021-01-09,0
105,2021-01-09,0
1403,2021-01-09,0
1406,2021-01-09,1
1304,2021-01-09,0
401,2021-01-09,0
514,2021-01-09,0
701,2021-01-09,0
2201,2021-01-09,0
112,2021-01-09,0
2206,2021-01-09,0
920,2021-01-09,0
1708,2021-01-09,0
2214,2021-01-09,0
1802,2021-01-09,0
1302,2021-01-09,0
303,2021-01-09,0
2107,2021-01-09,0
302,2021-01-09,0
411,2021-01-09,0
414,2021-01-09,0
1419,2021-01-09,0
314,2021-01-09,0
916,2021-01-09,0
415,2021-01-09,0
504,2021-01-09,0
903,2021-01-09,0
1804,2021-01-09,0
914,2021-01-09,0
1008,2021-01-09,0
1014,2021-01-09,0
2101,2021-01-09,0
1107,2021-01-09,0
1321,2021-01-09,0
1420,2021-01-09,0
917,2021-01-09,0
2217,2021-01-09,0
506,2021-01-09,0
1327,2021-01-09,0
2009,2021-01-09,0
710,2021-01-09,0
1002,2021-01-09,0
1301,2021-01-09,1
902,2021-01-09,0
1910,2021-01-09,0
1905,2021-01-09,0
1305,2021-01-09,0
1710,2021-01-09,0
1904,2021-01-09,0
412,2021-01-09,0
1319,2021-01-09,0
1906,2021-01-09,0
921,2021-01-09,0
409,2021-01-09,0
906,2021-01-09,0
2007,2021-01-09,0
508,2021-01-09,0
1416,2021-01-09,0
805,2021-01-09,0
2004,2021-01-09,0
1712,2021-01-09,0
1018,2021-01-09,0
1902,2021-01-09,0
408,2021-01-09,0
2207,2021-01-09,0
2011,2021-01-09,0
2211,2021-01-09,0
1418,2021-01-09,0
705,2021-01-09,0
1402,2021-01-09,0
1413,2021-01-09,0
905,2021-01-09,0
907,2021-01-09,0
1326,2021-01-09,0
1410,2021-01-09,0
2212,2021-01-09,0
1907,2021-01-09,0
2208,2021-01-09,0
915,2021-01-09,0
1307,2021-01-09,0
510,2021-01-09,0
2006,2021-01-09,0
1412,2021-01-09,0
1303,2021-01-09,0
2106,2021-01-09,0
2213,2021-01-09,0
1404,2021-01-09,0
2005,2021-01-09,0
1333,2021-01-09,0
2215,2021-01-09,0
1405,2021-01-09,0
1421,2021-01-09,0
1407,2021-01-09,0
2210,2021-01-09,0
101,2021-01-10,0
511,2021-01-10,0
407,2021-01-10,1
113,2021-01-10,0
501,2021-01-10,0
801,2021-01-10,0
1901,2021-01-10,0
108,2021-01-10,2
2001,2021-01-10,0
1701,2021-01-10,0
901,2021-01-10,0
1001,2021-01-10,0
114,2021-01-10,0
304,2021-01-10,0
913,2021-01-10,0
106,2021-01-10,0
1013,2021-01-10,0
1101,2021-01-10,0
505,2021-01-10,0
105,2021-01-10,0
1403,2021-01-10,0
1406,2021-01-10,0
1304,2021-01-10,0
401,2021-01-10,2
514,2021-01-10,0
701,2021-01-10,0
2201,2021-01-10,0
112,2021-01-10,0
2206,2021-01-10,0
920,2021-01-10,0
1708,2021-01-10,0
2214,2021-01-10,0
1802,2021-01-10,0
1302,2021-01-10,0
303,2021-01-10,0
2107,2021-01-10,0
302,2021-01-10,0
411,2021-01-10,1
414,2021-01-10,0
1419,2021-01-10,0
314,2021-01-10,0
916,2021-01-10,0
415,2021-01-10,0
504,2021-01-10,0
903,2021-01-10,0
1804,2021-01-10,0
914,2021-01-10,0
1008,2021-01-10,0
1014,2021-01-10,0
2101,2021-01-10,0
1107,2021-01-10,0
1321,2021-01-10,0
1420,2021-01-10,0
917,2021-01-10,0
2217,2021-01-10,0
506,2021-01-10,0
1327,2021-01-10,0
2009,2021-01-10,0
710,2021-01-10,0
1002,2021-01-10,0
1301,2021-01-10,0
902,2021-01-10,0
1910,2021-01-10,0
1905,2021-01-10,0
1305,2021-01-10,0
1710,2021-01-10,0
1904,2021-01-10,0
412,2021-01-10,0
1319,2021-01-10,0
1906,2021-01-10,0
921,2021-01-10,0
409,2021-01-10,0
906,2021-01-10,0
2007,2021-01-10,0
508,2021-01-10,0
1416,2021-01-10,0
805,2021-01-10,0
2004,2021-01-10,0
1712,2021-01-10,0
1018,2021-01-10,0
1902,2021-01-10,0
408,2021-01-10,0
2207,2021-01-10,0
2011,2021-01-10,0
2211,2021-01-10,0
1418,2021-01-10,0
705,2021-01-10,0
1402,2021-01-10,0
1413,2021-01-10,0
905,2021-01-10,0
907,2021-01-10,0
1326,2021-01-10,0
1410,2021-01-10,0
2212,2021-01-10,0
1907,2021-01-10,0
2208,2021-01-10,0
915,2021-01-10,0
1307,2021-01-10,0
510,2021-01-10,0
2006,2021-01-10,0
1412,2021-01-10,0
1303,2021-01-10,0
2106,2021-01-10,0
2213,2021-01-10,0
1404,2021-01-10,0
2005,2021-01-10,0
1333,2021-01-10,0
2215,2021-01-10,0
1405,2021-01-10,0
1421,2021-01-10,0
1407,2021-01-10,0
2210,2021-01-10,0
101,2021-01-11,2
511,2021-01-11,0
407,2021-01-11,0
113,2021-01-11,1
501,2021-01-11,0
801,2021-01-11,0
1901,2021-01-11,0
108,2021-01-11,1
2001,2021-01-11,0
1701,2021-01-11,0
901,2021-01-11,2
1001,2021-01-11,0
114,2021-01-11,0
304,2021-01-11,0
913,2021-01-11,0
106,2021-01-11,0
1013,2021-01-11,0
1101,2021-01-11,0
505,2021-01-11,0
105,2021-01-11,0
1403,2021-01-11,0
1406,2021-01-11,0
1304,2021-01-11,0
401,2021-01-11,1
514,2021-01-11,0
701,2021-01-11,0
2201,2021-01-11,0
112,2021-01-11,0
2206,2021-01-11,0
920,2021-01-11,0
1708,2021-01-11,0
2214,2021-01-11,0
1802,2021-01-11,0
1302,2021-01-11,0
303,2021-01-11,0
2107,2021-01-11,0
302,2021-01-11,1
411,2021-01-11,0
414,2021-01-11,0
1419,2021-01-11,0
314,2021-01-11,0
916,2021-01-11,0
415,2021-01-11,0
504,2021-01-11,0
903,2021-01-11,0
1804,2021-01-11,1
914,2021-01-11,0
1008,2021-01-11,0
1014,2021-01-11,0
2101,2021-01-11,0
1107,2021-01-11,0
1321,2021-01-11,0
1420,2021-01-11,0
917,2021-01-11,0
2217,2021-01-11,0
506,2021-01-11,0
1327,2021-01-11,1
2009,2021-01-11,0
710,2021-01-11,0
1002,2021-01-11,0
1301,2021-01-11,1
902,2021-01-11,0
1910,2021-01-11,0
1905,2021-01-11,0
1305,2021-01-11,0
1710,2021-01-11,0
1904,2021-01-11,1
412,2021-01-11,0
1319,2021-01-11,0
1906,2021-01-11,0
921,2021-01-11,0
409,2021-01-11,0
906,2021-01-11,0
2007,2021-01-11,0
508,2021-01-11,0
1416,2021-01-11,0
805,2021-01-11,0
2004,2021-01-11,0
1712,2021-01-11,0
1018,2021-01-11,0
1902,2021-01-11,0
